"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_artifact_callback","_callback","_items._artifact_callback","_items._callback","_items._items.activation","_items._items.bc_type","_items._items.iterations","_items._items.learning_rates","_items._items.loss_type","_items._items.n_layers","_items._items.net_type","_items._items.num_boundary","_items._items.num_domain","_items._items.optimizers","_items._items.size_layers","_items._items.train_distribution","_items._settings","_items._users_cnt","_items.activation","_items.bc_type","_items.iterations","_items.learning_rates","_items.loss_type","_items.n_layers","_items.net_type","_items.num_boundary","_items.num_domain","_items.num_samples","_items.optimizers","_items.size_layers","_items.train_distribution","_settings","_users_cnt","activation","bc_type","iterations","learning_rate","learning_rates","loss_type","n_layers","net_type","num_boundary","num_domain","num_sample","num_samples","optimizer","optimizers","size_layers","train_distribution","accuracy_metric","loss_test","loss_train","steps"
"drawn-sweep-39","finished","-","damien-bonnet","","2023-03-28T17:16:47.000Z","11805","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","4","Unet","","","","75","[""adam"",""L-BFGS""]","","75","Hammersley","0.006595588754862547","0.00001942193557624705","0.000022743457520846277","13000"
"dazzling-sweep-207","finished","-","damien-bonnet","","2023-03-30T09:32:15.000Z","6820","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","9","USnet","","","","100","[""adam"",""L-BFGS""]","","100","Hammersley","0.003749252064153552","0.000007549210749857593","0.000009617193427402526","13000"
"fresh-sun-1093","finished","-","damien-bonnet","","2023-05-10T08:44:21.000Z","1173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.004045915324240923","0.000005709558536182158","0.000007444745278917253","13000"
"astral-sweep-43","finished","-","damien-bonnet","","2023-03-28T18:59:55.000Z","10888","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","3","Unet","","","","50","[""adam"",""L-BFGS""]","","75","Hammersley","0.00418659346178174","0.000005468015388032654","0.000006114184088801267","13000"
"robust-sweep-68","finished","-","damien-bonnet","","2023-03-28T13:19:06.000Z","15996","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","8","Unet","","","","75","[""adam"",""L-BFGS""]","","75","Hammersley","0.007047085091471672","0.000008481174518237822","0.000009936458809534088","13000"
"clear-aardvark-1146","finished","-","damien-bonnet","","2023-05-15T16:04:39.000Z","1559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","","[0.001,null]","pde","3","Simplified_NN","","","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.000015413806977448985","0.000008037639418034814","0.000009290870366385208","13000"
"dulcet-flower-1100","finished","-","damien-bonnet","","2023-05-10T11:03:54.000Z","1217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.003715421538800001","0.000007309562988666585","0.000009228961062035523","13000"
"glorious-river-1108","finished","-","damien-bonnet","","2023-05-10T13:44:56.000Z","1181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.0034109028056263924","0.000005988432803860633","0.000007637210728717037","13000"
"happy-sweep-265","finished","-","damien-bonnet","","2023-03-30T18:38:43.000Z","5318","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","8","USnet","","","","25","[""adam"",""L-BFGS""]","","100","Hammersley","0.005206776317209005","0.000333179603330791","0.000037855996197322384","13000"
"rich-sweep-179","finished","-","damien-bonnet","","2023-03-29T17:34:49.000Z","10394","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","9","USnet","","","","50","[""adam"",""L-BFGS""]","","50","Hammersley","0.004705098457634449","0.000024457207473460585","0.00002799500543915201","13000"
