Epoch 0, Loss: 5.657e+00, Elapsed time: 0
Epoch 100, Loss: 4.044e+00, Elapsed time: 39
Epoch 200, Loss: 2.849e+00, Elapsed time: 77
Epoch 300, Loss: 1.810e+00, Elapsed time: 115
Epoch 400, Loss: 8.781e-01, Elapsed time: 153
Epoch 500, Loss: 2.974e-01, Elapsed time: 190
Epoch 600, Loss: 6.962e-02, Elapsed time: 228
Epoch 700, Loss: 3.963e-02, Elapsed time: 266
Epoch 800, Loss: 3.540e-02, Elapsed time: 304
Epoch 900, Loss: 3.357e-02, Elapsed time: 342
Epoch 1000, Loss: 3.209e-02, Elapsed time: 380
Epoch 1100, Loss: 3.093e-02, Elapsed time: 418
Epoch 1200, Loss: 3.009e-02, Elapsed time: 456
Epoch 1300, Loss: 2.947e-02, Elapsed time: 494
Epoch 1400, Loss: 2.885e-02, Elapsed time: 532
Epoch 1500, Loss: 2.843e-02, Elapsed time: 571
Epoch 1600, Loss: 2.811e-02, Elapsed time: 609
Epoch 1700, Loss: 2.775e-02, Elapsed time: 648
Epoch 1800, Loss: 2.757e-02, Elapsed time: 686
Epoch 1900, Loss: 2.745e-02, Elapsed time: 723
Epoch 2000, Loss: 2.722e-02, Elapsed time: 761
Epoch 2100, Loss: 2.710e-02, Elapsed time: 798
Epoch 2200, Loss: 2.693e-02, Elapsed time: 836
Epoch 2300, Loss: 2.682e-02, Elapsed time: 873
Epoch 2400, Loss: 2.670e-02, Elapsed time: 910
Epoch 2500, Loss: 2.654e-02, Elapsed time: 948
Epoch 2600, Loss: 2.635e-02, Elapsed time: 986
Epoch 2700, Loss: 2.631e-02, Elapsed time: 1024
Epoch 2800, Loss: 2.616e-02, Elapsed time: 1061
Epoch 2900, Loss: 2.600e-02, Elapsed time: 1100
Epoch 3000, Loss: 2.588e-02, Elapsed time: 1138
